IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,Language,DateModified
MDG_0000000025,Births attended by skilled health personnel (%),text,EUR,Europe,Country,ALB,Albania,Year,2000,false,,,,,,,,,,,,,99,,,,,,99,,EN,2025-04-06T22:00:00.000Z
MDG_0000000025,Births attended by skilled health personnel (%),text,AMR,Americas,Country,ATG,Antigua and Barbuda,Year,2000,false,,,,,,,,,,,,,100,,,,,,100,,EN,2025-04-06T22:00:00.000Z
MDG_0000000025,Births attended by skilled health personnel (%),text,AMR,Americas,Country,ARG,Argentina,Year,2000,false,,,,,,,,,,,,,99,,,,,,99,,EN,2025-04-06T22:00:00.000Z
MDG_0000000025,Births attended by skilled health personnel (%),text,EUR,Europe,Country,ARM,Armenia,Year,2000,false,,,,,,,,,,,,,97,,,,,,97,,EN,2025-04-06T22:00:00.000Z
MDG_0000000025,Births attended by skilled health personnel (%),text,WPR,Western Pacific,Country,AUS,Australia,Year,2000,false,,,,,,,,,,,,,99,,,,,,99,,EN,2025-04-06T22:00:00.000Z
MDG_0000000025,Births attended by skilled health personnel (%),text,EUR,Europe,Country,AUT,Austria,Year,2000,false,,,,,,,,,,,,,98,,,,,,98,,EN,2025-04-06T22:00:00.000Z
MDG_0000000025,Births attended by skilled health personnel (%),text,EUR,Europe,Country,AZE,Azerbaijan,Year,2000,false,,,,,,,,,,,,,81,,,,,,81,,EN,2025-04-06T22:00:00.000Z
MDG_0000000025,Births attended by skilled health personnel (%),text,AMR,Americas,Country,BHS,Bahamas,Year,2000,false,,,,,,,,,,,,,99,,,,,,99,,EN,2025-04-06T22:00:00.000Z
MDG_0000000025,Births attended by skilled health personnel (%),text,EMR,Eastern Mediterranean,Country,BHR,Bahrain,Year,2000,false,,,,,,,,,,,,,98,,,,,,98,,EN,2025-04-06T22:00:00.000Z
MDG_0000000025,Births attended by skilled health personnel (%),text,SEAR,South-East Asia,Country,BGD,Bangladesh,Year,1999-2000,false,,,,,,,,,,,,,12,,,,,,12,,EN,2025-04-06T22:00:00.000Z
MDG_0000000025,Births attended by skilled health personnel (%),text,AMR,Americas,Country,BRB,Barbados,Year,2000,false,,,,,,,,,,,,,98,,,,,,98,,EN,2025-04-06T22:00:00.000Z
MDG_0000000025,Births attended by skilled health personnel (%),text,EUR,Europe,Country,BLR,Belarus,Year,2000,false,,,,,,,,,,,,,100,,,,,,100,,EN,2025-04-06T22:00:00.000Z
MDG_0000000025,Births attended by skilled health personnel (%),text,AMR,Americas,Country,BLZ,Belize,Year,2000,false,,,,,,,,,,,,,90,,,,,,90,,EN,2025-04-06T22:00:00.000Z
MDG_0000000025,Births attended by skilled health personnel (%),text,AMR,Americas,Country,BMU,Bermuda,Year,2000,false,,,,,,,,,,,,,100,,,,,,100,,EN,2025-04-06T22:00:00.000Z
MDG_0000000025,Births attended by skilled health personnel (%),text,SEAR,South-East Asia,Country,BTN,Bhutan,Year,2000,false,,,,,,,,,,,,,27,,,,,,27,,EN,2025-04-06T22:00:00.000Z
MDG_0000000025,Births attended by skilled health personnel (%),text,AMR,Americas,Country,BOL,Bolivia (Plurinational State of),Year,2000,false,,,,,,,,,,,,,67,,,,,,67,,EN,2025-04-06T22:00:00.000Z
MDG_0000000025,Births attended by skilled health personnel (%),text,EUR,Europe,Country,BIH,Bosnia and Herzegovina,Year,2000,false,,,,,,,,,,,,,99,,,,,,99,,EN,2025-04-06T22:00:00.000Z
MDG_0000000025,Births attended by skilled health personnel (%),text,AFR,Africa,Country,BWA,Botswana,Year,2000,false,,,,,,,,,,,,,99,,,,,,99,,EN,2025-04-06T22:00:00.000Z
MDG_0000000025,Births attended by skilled health personnel (%),text,AMR,Americas,Country,BRA,Brazil,Year,2000,false,,,,,,,,,,,,,99,,,,,,99,,EN,2025-04-06T22:00:00.000Z
MDG_0000000025,Births attended by skilled health personnel (%),text,WPR,Western Pacific,Country,BRN,Brunei Darussalam,Year,2000,false,,,,,,,,,,,,,99,,,,,,99,,EN,2025-04-06T22:00:00.000Z
MDG_0000000025,Births attended by skilled health personnel (%),text,EUR,Europe,Country,BGR,Bulgaria,Year,2000,false,,,,,,,,,,,,,99,,,,,,99,,EN,2025-04-06T22:00:00.000Z
MDG_0000000025,Births attended by skilled health personnel (%),text,AFR,Africa,Country,BDI,Burundi,Year,2000,false,,,,,,,,,,,,,25,,,,,,25,,EN,2025-04-06T22:00:00.000Z
MDG_0000000025,Births attended by skilled health personnel (%),text,WPR,Western Pacific,Country,KHM,Cambodia,Year,2000,false,,,,,,,,,,,,,32,,,,,,32,,EN,2025-04-06T22:00:00.000Z
MDG_0000000025,Births attended by skilled health personnel (%),text,AFR,Africa,Country,CMR,Cameroon,Year,2000,false,,,,,,,,,,,,,56,,,,,,56,,EN,2025-04-06T22:00:00.000Z
MDG_0000000025,Births attended by skilled health personnel (%),text,AMR,Americas,Country,CAN,Canada,Year,2000,false,,,,,,,,,,,,,99,,,,,,99,,EN,2025-04-06T22:00:00.000Z
MDG_0000000025,Births attended by skilled health personnel (%),text,AFR,Africa,Country,CAF,Central African Republic,Year,2000,false,,,,,,,,,,,,,32,,,,,,32,,EN,2025-04-06T22:00:00.000Z
MDG_0000000025,Births attended by skilled health personnel (%),text,AFR,Africa,Country,TCD,Chad,Year,2000,false,,,,,,,,,,,,,14,,,,,,14,,EN,2025-04-06T22:00:00.000Z
MDG_0000000025,Births attended by skilled health personnel (%),text,AMR,Americas,Country,CHL,Chile,Year,2000,false,,,,,,,,,,,,,100,,,,,,100,,EN,2025-04-06T22:00:00.000Z
MDG_0000000025,Births attended by skilled health personnel (%),text,WPR,Western Pacific,Country,CHN,China,Year,2000,false,,,,,,,,,,,,,97,,,,,,97,,EN,2025-04-06T22:00:00.000Z
MDG_0000000025,Births attended by skilled health personnel (%),text,AMR,Americas,Country,COL,Colombia,Year,2000,false,,,,,,,,,,,,,86,,,,,,86,,EN,2025-04-06T22:00:00.000Z
MDG_0000000025,Births attended by skilled health personnel (%),text,AFR,Africa,Country,COM,Comoros,Year,2000,false,,,,,,,,,,,,,62,,,,,,62,,EN,2025-04-06T22:00:00.000Z
MDG_0000000025,Births attended by skilled health personnel (%),text,WPR,Western Pacific,Country,COK,Cook Islands,Year,2000,false,,,,,,,,,,,,,98,,,,,,98,,EN,2025-04-06T22:00:00.000Z
MDG_0000000025,Births attended by skilled health personnel (%),text,AMR,Americas,Country,CRI,Costa Rica,Year,1999-2000,false,,,,,,,,,,,,,97,,,,,,97,,EN,2025-04-06T22:00:00.000Z
